--------------------
09-10-2023 06:59:48
{'seed': 272}

--------------------
09-10-2023 06:59:48
{ 'model_JK': 'last',
  'model_drop_ratio': 0.6,
  'model_gnn_type': 'GCNConv',
  'model_hidden_channels': 128,
  'model_net_norm': 'none',
  'model_num_layers': 3,
  'model_reduce_type': 'sum',
  'n_hops': 3,
  'threshs': {0: 150, 1: 104}}


--------------------
09-10-2023 06:59:49
n_hops (used for MPTree construction): 3
--------------------
09-10-2023 06:59:52
It took 2.0321s to compute MPTree representations
--------------------
09-10-2023 06:59:52
{0: 150, 1: 104}

--------------------
09-10-2023 06:59:52
Unique trees in class 0: 6083, in class 1: 3686
--------------------
09-10-2023 06:59:52
Patterns mined in class 0: 8 (thresh: 150), in class 1: 9 (thresh: 104)
--------------------
09-10-2023 06:59:52
#(class 0)/#(class 1) = 0.89
--------------------
09-10-2023 06:59:52
device(type='cuda', index=0)

--------------------
09-10-2023 06:59:52
{'JK': 'last',
 'drop_ratio': 0.6,
 'gnn_type': 'GCNConv',
 'hidden_channels': 128,
 'net_norm': 'none',
 'num_layers': 3,
 'reduce_type': 'sum'}

--------------------
09-10-2023 06:59:54
{'batch_size': 32, 'shuffle': True}

--------------------
09-10-2023 06:59:54
{'batch_size': 8192, 'shuffle': False}

--------------------
09-10-2023 06:59:54
{'batch_size': 8192, 'shuffle': False}

--------------------
09-10-2023 06:59:54
CrossEntropyLoss()

Time, epoch, train_loss, train_auc_roc, train_acc, train_f1, val_loss, val_auc_roc, val_acc, val_f1, test_loss, test_auc_roc, test_acc, test_f1
Starting run number 0
09-10-2023 06:59:55, 0, 6.050471782684326, 0.9722222222222222, 0.8235294117647058, 0.8571428571428571, 4.233211040496826, 0.49230769230769234, 0.8609271523178808, 0.9252669039145908, 12.164815902709961, 0.5507737784733089, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 1, 4.203980445861816, 0.7569444444444444, 0.5294117647058824, 0.6923076923076924, 6.642027378082275, 0.5, 0.8609271523178808, 0.9252669039145908, 19.030292510986328, 0.5211267605633803, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 2, 3.8106751441955566, 0.7013888888888888, 0.5294117647058824, 0.6923076923076924, 7.249894142150879, 0.5, 0.8609271523178808, 0.9252669039145908, 20.800016403198242, 0.5211267605633803, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 3, 3.7938344478607178, 0.8263888888888888, 0.5294117647058824, 0.6923076923076924, 7.2569990158081055, 0.5, 0.8609271523178808, 0.9252669039145908, 20.834991455078125, 0.5211267605633803, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 4, 4.828934192657471, 0.9513888888888888, 0.5294117647058824, 0.6923076923076924, 7.188275337219238, 0.5, 0.8609271523178808, 0.9252669039145908, 20.634727478027344, 0.5211267605633803, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 5, 8.774569511413574, 0.9375, 0.9411764705882353, 0.9473684210526316, 6.8038129806518555, 0.49615384615384617, 0.8609271523178808, 0.9252669039145908, 19.470434188842773, 0.528169014084507, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 6, 6.969457626342773, 0.9097222222222222, 0.8235294117647058, 0.823529411764706, 6.414949893951416, 0.49615384615384617, 0.8609271523178808, 0.9252669039145908, 18.292129516601562, 0.5492957746478873, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 7, 4.329970836639404, 0.8819444444444444, 0.7647058823529411, 0.75, 5.324714183807373, 0.48846153846153845, 0.8609271523178808, 0.9252669039145908, 15.082059860229492, 0.597374369674839, 0.5328947368421053, 0.6952789699570816
09-10-2023 06:59:55, 8, 1.8323513269424438, 0.8819444444444444, 0.6470588235294118, 0.5714285714285714, 4.327999114990234, 0.5423076923076924, 0.8543046357615894, 0.9214285714285715, 12.112014770507812, 0.6682316118935837, 0.5526315789473685, 0.7043478260869566
09-10-2023 06:59:55, 9, 3.8181686401367188, 0.8819444444444444, 0.6470588235294118, 0.5714285714285714, 3.8848791122436523, 0.585897435897436, 0.8543046357615894, 0.9214285714285715, 10.930737495422363, 0.678055990262563, 0.6118421052631579, 0.7330316742081447
09-10-2023 06:59:55, 10, 2.034421682357788, 0.8819444444444444, 0.6470588235294118, 0.5714285714285714, 3.857123613357544, 0.5956043956043956, 0.847682119205298, 0.9175627240143368, 10.936325073242188, 0.6752738654147105, 0.6118421052631579, 0.730593607305936
09-10-2023 06:59:55, 11, 1.639112114906311, 0.8958333333333333, 0.7647058823529411, 0.75, 3.8006293773651123, 0.5935897435897437, 0.8145695364238411, 0.8970588235294118, 10.733954429626465, 0.6746652756042428, 0.618421052631579, 0.7289719626168224
09-10-2023 06:59:55, 12, 2.118464708328247, 0.9097222222222222, 0.7647058823529411, 0.75, 4.4544148445129395, 0.5712454212454213, 0.847682119205298, 0.9175627240143368, 12.675606727600098, 0.6712745609459224, 0.618421052631579, 0.7339449541284403
09-10-2023 06:59:55, 13, 1.6979080438613892, 0.9236111111111112, 0.8235294117647058, 0.823529411764706, 5.11216926574707, 0.534981684981685, 0.8543046357615894, 0.9214285714285715, 14.468477249145508, 0.662754303599374, 0.6118421052631579, 0.7330316742081447
09-10-2023 06:59:56, 14, 1.4981609582901, 0.9236111111111112, 0.8235294117647058, 0.823529411764706, 6.245522499084473, 0.5076923076923077, 0.8543046357615894, 0.9214285714285715, 17.530832290649414, 0.6394540079986089, 0.5855263157894737, 0.72
09-10-2023 06:59:56, 15, 1.5920727252960205, 0.9236111111111112, 0.8823529411764706, 0.8888888888888888, 7.175535678863525, 0.4957875457875458, 0.8543046357615894, 0.9214285714285715, 20.1562557220459, 0.6138062945574683, 0.5526315789473685, 0.7043478260869566
